artist,name,username,explicit,duration,popularity,danceability,loudness,tempo,acousticness,energy,valence,liveness,speechiness,genres,date
Jack Savoretti,Breaking the Rules,MelodicWanderer,False,214493,35,0.59,-5.702,146.014,0.0956,0.652,0.398,0.295,0.0245,['acoustic pop'],2012
Amber Run,I Found,MelodicWanderer,False,273000,71,0.567,-12.481,124.949,0.862,0.303,0.252,0.104,0.0351,['indie anthem-folk'],2015
Dua Lipa,Homesick,MelodicWanderer,False,230480,40,0.502,-8.694,129.731,0.947,0.223,0.403,0.113,0.037,"['dance pop', 'pop', 'uk pop']",2017
FINNEAS,Only A Lifetime,MelodicWanderer,False,256758,47,0.598,-13.856,103.402,0.95,0.115,0.229,0.106,0.0461,"['alt z', 'la indie', 'pop', 'pov: indie']",2021
FACESOUL,Grow - A COLORS ENCORE,MelodicWanderer,False,207498,56,0.551,-16.877,129.904,0.919,0.0258,0.0775,0.113,0.0387,['high vibe'],2021
CARYS,Princesses Don't Cry,MelodicWanderer,True,212106,62,0.626,-4.975,74.985,0.285,0.595,0.65,0.0858,0.0288,['canadian electropop'],2017
Gracie Abrams,"I Love You, I'm Sorry",MelodicWanderer,True,157146,90,0.53,-7.507,115.94,0.656,0.406,0.338,0.133,0.033,['alt z'],2024
Sinéad O'Connor,Nothing Compares 2 U,MelodicWanderer,False,280040,74,0.512,-7.016,119.917,0.0425,0.574,0.161,0.105,0.0273,"['lilith', 'new wave pop', 'singer-songwriter']",1990
Shawn Mendes,When You're Gone,MelodicWanderer,False,172266,68,0.603,-5.805,147.148,0.0248,0.691,0.577,0.583,0.0372,"['canadian pop', 'pop', 'viral pop']",2022
EXO,Universe,MelodicWanderer,False,264365,48,0.38,-5.529,139.805,0.603,0.439,0.146,0.133,0.0314,"['k-pop', 'k-pop boy group']",2017
Mark Knopfler,I'm The Fool,MelodicWanderer,False,266533,29,0.681,-11.323,105.78,0.734,0.4,0.379,0.118,0.0274,['soft rock'],1996
Ed Sheeran,The Joker And The Queen (feat. Taylor Swift),MelodicWanderer,False,185422,62,0.528,-7.398,133.83,0.924,0.309,0.307,0.282,0.0329,"['pop', 'singer-songwriter pop', 'uk pop']",2022
Ed Sheeran,A Beautiful Game,MelodicWanderer,False,215440,41,0.47,-9.202,151.141,0.0821,0.417,0.406,0.129,0.0293,"['pop', 'singer-songwriter pop', 'uk pop']",2023
Various Artists,Smokin' And Cryin',MelodicWanderer,False,208906,46,0.498,-11.696,106.901,0.807,0.265,0.274,0.0877,0.0291,[],2018
Sara Bareilles,Gravity,MelodicWanderer,False,232760,61,0.27,-10.357,168.964,0.834,0.275,0.231,0.146,0.0356,"['acoustic pop', 'lilith', 'neo mellow', 'pop rock', 'post-teen pop']",2007
Sara Bareilles,I Choose You,MelodicWanderer,False,218573,56,0.731,-7.889,154.038,0.105,0.572,0.947,0.133,0.0445,"['acoustic pop', 'lilith', 'neo mellow', 'pop rock', 'post-teen pop']",2013
Tom Rosenthal,Lights Are On,MelodicWanderer,False,193749,77,0.44,-16.887,135.965,0.981,0.04,0.249,0.111,0.0322,['british singer-songwriter'],2018
Tom Rosenthal,Have We Met Before?,MelodicWanderer,False,159040,48,0.491,-19.363,140.237,0.948,0.121,0.251,0.113,0.0351,['british singer-songwriter'],2018
Lana Del Rey,hope is a dangerous thing for a woman like me to have - but I have it,MelodicWanderer,True,324498,62,0.49,-13.208,86.675,0.964,0.104,0.278,0.162,0.0635,"['art pop', 'pop']",2019
Lana Del Rey,Happiness is a butterfly,MelodicWanderer,False,272485,73,0.467,-10.99,70.499,0.969,0.119,0.156,0.0973,0.0401,"['art pop', 'pop']",2019
Lana Del Rey,Diet Mountain Dew,MelodicWanderer,False,222920,68,0.442,-5.971,176.09,0.284,0.68,0.601,0.421,0.0858,"['art pop', 'pop']",2012
Lana Del Rey,Cinnamon Girl,MelodicWanderer,False,300683,82,0.294,-10.614,91.781,0.814,0.337,0.135,0.14,0.036,"['art pop', 'pop']",2019
Lana Del Rey,Young And Beautiful,MelodicWanderer,False,236053,84,0.324,-8.92,113.986,0.262,0.416,0.151,0.11,0.0368,"['art pop', 'pop']",2013
flora cash,You're Somebody Else,MelodicWanderer,False,218883,67,0.713,-9.638,102.963,0.841,0.452,0.235,0.105,0.0295,"['indie pop', 'scandipop', 'swedish indie folk']",2018
Fleetwood Mac,The Chain - 2004 Remaster,MelodicWanderer,False,270213,80,0.545,-8.81,151.553,0.009,0.67,0.481,0.0451,0.0496,"['album rock', 'classic rock', 'rock', 'soft rock', 'yacht rock']",1977
Sara Bareilles,She Used To Be Mine,MelodicWanderer,False,250266,60,0.397,-7.508,81.05,0.381,0.303,0.172,0.101,0.0435,"['acoustic pop', 'lilith', 'neo mellow', 'pop rock', 'post-teen pop']",2015
Coldplay,Clocks,MelodicWanderer,False,307879,82,0.577,-7.215,130.97,0.599,0.749,0.255,0.183,0.0279,"['permanent wave', 'pop']",2002
Fleurie,Love and War,MelodicWanderer,False,314984,52,0.45,-8.536,123.077,0.691,0.368,0.0381,0.119,0.03,['nashville singer-songwriter'],2016
Fleurie,Hurts Like Hell,MelodicWanderer,False,232698,41,0.437,-14.112,129.942,0.651,0.104,0.0722,0.108,0.0365,['nashville singer-songwriter'],2016
Staind,Something to Remind You,MelodicWanderer,False,247053,45,0.414,-9.271,125.833,0.846,0.295,0.218,0.079,0.033,"['alternative metal', 'nu metal', 'post-grunge']",2011
Tom Rosenthal,Middle Of My Mind,MelodicWanderer,False,164721,40,0.607,-14.271,76.695,0.963,0.198,0.381,0.107,0.038,['british singer-songwriter'],2015
Scorpions,Wind Of Change,MelodicWanderer,False,312360,78,0.452,-10.108,151.505,0.315,0.524,0.246,0.103,0.0351,"['album rock', 'german hard rock', 'german metal', 'german rock', 'hard rock']",1990
Various Artists,My Imagination,MelodicWanderer,False,219520,12,0.427,-9.496,125.22,0.709,0.277,0.16,0.114,0.0333,[],2015
Alok,In My Mind,MelodicWanderer,False,175555,47,0.629,-5.482,108.025,0.0947,0.746,0.425,0.225,0.0401,"['electro house', 'pop nacional', 'slap house']",2021
Johnny Cash,Hurt,MelodicWanderer,False,216533,71,0.534,-7.636,90.379,0.649,0.392,0.163,0.0948,0.0267,"['arkansas country', 'outlaw country', 'rock']",2002
